Frame,Timestamp,Width_px,Height_px,Depth_cm,Category,Confidence,X1,Y1,X2,Y2
258,10.32,151,61,25.0,critical,0.643,1129,511,1280,572
258,10.32,186,36,25.0,critical,0.578,702,166,888,202
258,10.32,212,60,25.0,critical,0.524,1044,381,1256,441
261,10.44,205,76,25.0,critical,0.863,136,359,341,435
261,10.44,372,147,25.0,critical,0.838,222,496,594,643
261,10.44,234,62,25.0,critical,0.628,1037,307,1271,369
264,10.56,415,173,25.0,critical,0.917,182,542,597,715
264,10.56,227,83,25.0,critical,0.871,104,380,331,463
264,10.56,217,73,25.0,critical,0.594,1062,316,1279,389
267,10.68,247,91,25.0,critical,0.855,71,401,318,492
267,10.68,180,74,25.0,critical,0.732,1098,324,1278,398
267,10.68,498,136,25.0,critical,0.543,123,584,621,720
270,10.80,257,108,25.0,critical,0.936,46,417,303,525
270,10.80,203,36,25.0,critical,0.531,713,174,916,210
270,10.80,151,84,25.0,critical,0.519,1128,334,1279,418
273,10.92,278,123,25.0,critical,0.954,1,447,279,570
273,10.92,219,44,25.0,critical,0.672,706,171,925,215
273,10.92,120,77,25.0,critical,0.528,1159,348,1279,425
276,11.04,255,145,25.0,critical,0.939,0,477,255,622
276,11.04,219,45,25.0,critical,0.651,714,176,933,221
276,11.04,84,79,25.0,critical,0.556,1196,364,1280,443
279,11.16,227,174,25.0,critical,0.912,5,513,232,687
279,11.16,228,44,25.0,critical,0.621,717,181,945,225
282,11.28,194,157,25.0,critical,0.906,1,563,195,720
282,11.28,231,44,25.0,critical,0.573,725,183,956,227
285,11.40,134,96,25.0,critical,0.810,2,624,136,720
285,11.40,241,47,25.0,critical,0.624,727,182,968,229
285,11.40,111,27,25.0,critical,0.550,485,197,596,224
288,11.52,247,48,25.0,critical,0.711,731,183,978,231
288,11.52,120,29,25.0,critical,0.591,484,203,604,232
291,11.64,249,49,25.0,critical,0.753,738,184,987,233
291,11.64,120,32,25.0,critical,0.680,484,203,604,235
294,11.76,255,52,25.0,critical,0.759,746,186,1001,238
294,11.76,127,31,25.0,critical,0.537,479,208,606,239
297,11.88,260,51,25.0,critical,0.720,752,188,1012,239
